DD,MM,YYYY,HH_start,HH_end_1,solar_heat_production_Mwh,solar_radiation_Wh-sqm,HH_end_2,diff_HH_end_2-1,count_of_selcted,manipulated
17,4,2012,6,7,0,7,7,0,2551,
17,4,2012,7,8,0,51,8,0,2552,
17,4,2012,8,9,0.1,233,9,0,2553,
17,4,2012,9,10,0.63,304,10,0,2554,
17,4,2012,10,11,1.83,392,11,0,2555,
17,4,2012,11,12,2.94,523,12,0,2556,
17,4,2012,12,13,5.23,467,13,0,2557,
17,4,2012,13,14,0.3,231,14,0,2558,
17,4,2012,14,15,2.57,459,15,0,2559,
17,4,2012,15,16,1.62,484,16,0,2560,
17,4,2012,16,17,4.86,540,17,0,2561,
17,4,2012,17,18,0.59,200,18,0,2562,
17,4,2012,18,19,0.26,79,19,0,2563,
17,4,2012,19,20,0,26,20,0,2564,
17,4,2012,20,21,0,4,21,0,2565,
17,4,2012,21,22,0,0,22,0,2566,
17,4,2012,22,23,0,0,23,0,2567,
17,4,2012,23,24,0,0,24,0,2568,
18,4,2012,0,1,0,0,1,0,2569,
18,4,2012,1,2,0,0,2,0,2570,
18,4,2012,2,3,0,0,3,0,2571,
18,4,2012,3,4,0,0,4,0,2572,
18,4,2012,4,5,0,0,5,0,2573,
18,4,2012,5,6,0,0,6,0,2574,
18,4,2012,6,7,0,1,7,0,2575,
18,4,2012,7,8,0,9,8,0,2576,
18,4,2012,8,9,0,30,9,0,2577,
18,4,2012,9,10,0,48,10,0,2578,
18,4,2012,10,11,0.15,197,11,0,2579,
18,4,2012,11,12,0.24,213,12,0,2580,
18,4,2012,12,13,0.17,254,13,0,2581,
18,4,2012,13,14,7.73,774,14,0,2582,
18,4,2012,14,15,8.34,813,15,0,2583,
18,4,2012,15,16,4.59,759,16,0,2584,
18,4,2012,16,17,6.02,620,17,0,2585,
18,4,2012,17,18,2.63,480,18,0,2586,
18,4,2012,18,19,1.64,235,19,0,2587,
18,4,2012,19,20,0.05,63,20,0,2588,
18,4,2012,20,21,0,10,21,0,2589,
18,4,2012,21,22,0,0,22,0,2590,
18,4,2012,22,23,0,0,23,0,2591,
18,4,2012,23,24,0,0,24,0,2592,
19,4,2012,0,1,0,0,1,0,2593,
19,4,2012,1,2,0,0,2,0,2594,
19,4,2012,2,3,0,0,3,0,2595,
19,4,2012,3,4,0,0,4,0,2596,
19,4,2012,4,5,0,0,5,0,2597,
19,4,2012,5,6,0,0,6,0,2598,
19,4,2012,6,7,0,12,7,0,2599,
19,4,2012,7,8,0,68,8,0,2600,
19,4,2012,8,9,0.06,225,9,0,2601,
19,4,2012,9,10,0.64,441,10,0,2602,
19,4,2012,10,11,5.72,642,11,0,2603,
19,4,2012,11,12,7.37,783,12,0,2604,
19,4,2012,12,13,8.82,885,13,0,2605,
19,4,2012,13,14,9.23,928,14,0,2606,
19,4,2012,14,15,7.23,646,15,0,2607,
19,4,2012,15,16,5.99,654,16,0,2608,
19,4,2012,16,17,3.64,355,17,0,2609,
19,4,2012,17,18,0.33,157,18,0,2610,
19,4,2012,18,19,0.29,165,19,0,2611,
19,4,2012,19,20,0,46,20,0,2612,
19,4,2012,20,21,0,8,21,0,2613,
19,4,2012,21,22,0,0,22,0,2614,
19,4,2012,22,23,0,0,23,0,2615,
19,4,2012,23,24,0,0,24,0,2616,
20,4,2012,0,1,0,0,1,0,2617,
20,4,2012,1,2,0,0,2,0,2618,
20,4,2012,2,3,0,0,3,0,2619,
20,4,2012,3,4,0,0,4,0,2620,
20,4,2012,4,5,0,0,5,0,2621,
20,4,2012,5,6,0,0,6,0,2622,
20,4,2012,6,7,0,3,7,0,2623,
20,4,2012,7,8,0,20,8,0,2624,
20,4,2012,8,9,0,29,9,0,2625,
20,4,2012,9,10,0,48,10,0,2626,
20,4,2012,10,11,0,104,11,0,2627,
20,4,2012,11,12,0,144,12,0,2628,
20,4,2012,12,13,0,38,13,0,2629,
20,4,2012,13,14,0,34,14,0,2630,
20,4,2012,14,15,0,52,15,0,2631,
20,4,2012,15,16,0,83,16,0,2632,
20,4,2012,16,17,0,48,17,0,2633,
20,4,2012,17,18,0,84,18,0,2634,
20,4,2012,18,19,0,58,19,0,2635,
20,4,2012,19,20,0,31,20,0,2636,
20,4,2012,20,21,0,9,21,0,2637,
20,4,2012,21,22,0,0,22,0,2638,
20,4,2012,22,23,0,0,23,0,2639,
20,4,2012,23,24,0,0,24,0,2640,
21,4,2012,0,1,0,0,1,0,2641,
21,4,2012,1,2,0,0,2,0,2642,
21,4,2012,2,3,0,0,3,0,2643,
21,4,2012,3,4,0,0,4,0,2644,
