DD,MM,YYYY,HH_start,HH_end_1,solar_heat_production_Mwh,solar_radiation_Wh-sqm,HH_end_2,diff_HH_end_2-1,count_of_selcted,manipulated
17,11,2012,2,3,0,0,3,0,7683,
17,11,2012,3,4,0,0,4,0,7684,
17,11,2012,4,5,0,0,5,0,7685,
17,11,2012,5,6,0,0,6,0,7686,
17,11,2012,6,7,0,0,7,0,7687,
17,11,2012,7,8,0,0,8,0,7688,
17,11,2012,8,9,0,0,9,0,7689,
17,11,2012,9,10,0,0,10,0,7690,
17,11,2012,10,11,0,0,11,0,7691,
17,11,2012,11,12,0,0,12,0,7692,
17,11,2012,12,13,0,0,13,0,7693,
17,11,2012,13,14,0,0,14,0,7694,
17,11,2012,14,15,0,0,15,0,7695,
17,11,2012,15,16,0,0,16,0,7696,
17,11,2012,16,17,0,0,17,0,7697,
17,11,2012,17,18,0,0,18,0,7698,
17,11,2012,18,19,0,0,19,0,7699,
17,11,2012,19,20,0,0,20,0,7700,
17,11,2012,20,21,0,0,21,0,7701,
17,11,2012,21,22,0,0,22,0,7702,
17,11,2012,22,23,0,0,23,0,7703,
17,11,2012,23,24,0,0,24,0,7704,
18,11,2012,0,1,0,0,1,0,7705,
18,11,2012,1,2,0,0,2,0,7706,
18,11,2012,2,3,0,0,3,0,7707,
18,11,2012,3,4,0,0,4,0,7708,
18,11,2012,4,5,0,0,5,0,7709,
18,11,2012,5,6,0,0,6,0,7710,
18,11,2012,6,7,0,0,7,0,7711,
18,11,2012,7,8,0,0,8,0,7712,
18,11,2012,8,9,0,0,9,0,7713,
18,11,2012,9,10,0,0,10,0,7714,
18,11,2012,10,11,0,0,11,0,7715,
18,11,2012,11,12,0,0,12,0,7716,
18,11,2012,12,13,0,0,13,0,7717,
18,11,2012,13,14,0,0,14,0,7718,
18,11,2012,14,15,0,0,15,0,7719,
18,11,2012,15,16,0,0,16,0,7720,
18,11,2012,16,17,0,0,17,0,7721,
18,11,2012,17,18,0,0,18,0,7722,
18,11,2012,18,19,0,0,19,0,7723,
18,11,2012,19,20,0,0,20,0,7724,
18,11,2012,20,21,0,0,21,0,7725,
18,11,2012,21,22,0,0,22,0,7726,
18,11,2012,22,23,0,0,23,0,7727,
18,11,2012,23,24,0,0,24,0,7728,
19,11,2012,0,1,0,0,1,0,7729,
19,11,2012,1,2,0,0,2,0,7730,
19,11,2012,2,3,0,0,3,0,7731,
19,11,2012,3,4,0,0,4,0,7732,
19,11,2012,4,5,0,0,5,0,7733,
19,11,2012,5,6,0,0,6,0,7734,
19,11,2012,6,7,0,0,7,0,7735,
19,11,2012,7,8,0,0,8,0,7736,
19,11,2012,8,9,0,0,9,0,7737,
19,11,2012,9,10,0,0,10,0,7738,
19,11,2012,10,11,0,0,11,0,7739,
19,11,2012,11,12,0,0,12,0,7740,
19,11,2012,12,13,0,0,13,0,7741,
19,11,2012,13,14,0.13,18,14,0,7742,
19,11,2012,14,15,0,0,15,0,7743,
19,11,2012,15,16,0,0,16,0,7744,
19,11,2012,16,17,0,0,17,0,7745,
19,11,2012,17,18,0,0,18,0,7746,
19,11,2012,18,19,0,0,19,0,7747,
19,11,2012,19,20,0,0,20,0,7748,
19,11,2012,20,21,0,0,21,0,7749,
19,11,2012,21,22,0,0,22,0,7750,
19,11,2012,22,23,0,0,23,0,7751,
19,11,2012,23,24,0,0,24,0,7752,
20,11,2012,0,1,0,0,1,0,7753,
20,11,2012,1,2,0,0,2,0,7754,
20,11,2012,2,3,0,0,3,0,7755,
20,11,2012,3,4,0,0,4,0,7756,
20,11,2012,4,5,0,0,5,0,7757,
20,11,2012,5,6,0,0,6,0,7758,
20,11,2012,6,7,0,0,7,0,7759,
20,11,2012,7,8,0,0,8,0,7760,
20,11,2012,8,9,0,0,9,0,7761,
20,11,2012,9,10,0,0,10,0,7762,
20,11,2012,10,11,0,0,11,0,7763,
20,11,2012,11,12,0,0,12,0,7764,
